a2d_outn X,a2d_outn Logic
0,1
2.022849999998371e-06,0
4.017650000002745e-06,1
2.202275000004222e-05,0
2.40176500000466e-05,1
2.602287022772644e-05,0
2.801765000005537e-05,1
3.402279999983102e-05,0
3.601764999970021e-05,1
4.602277451063882e-05,0
4.801759999891338e-05,1
5.40227787406086e-05,0
5.601764999838882e-05,1
5.802279999825734e-05,0
6.001764999812654e-05,1
6.602282499840873e-05,0
6.801769999854828e-05,1
7.402289999896838e-05,0
7.601769999910793e-05,1
7.802287499924821e-05,0
8.001764999938775e-05,1
9.402277500036749e-05,0
9.601765000050703e-05,1
9.802285000064731e-05,0
0.0001,0
